"","video","avg_excitement_score","median_excitement_score","avg_understanding_score","median_understanding_score","num_reponses","num_touches","num_poss_changes","point_duration","num_body_blocks","num_dives","commentary","scoreboard","jersey","fans_cheering","slowmo_replay","new_rules"
"1",1,4.47959183673469,4,2.92857142857143,2,98,1,1,1.25,0,0,0,0,0,0,0,0
"2",2,7,7.5,2.7,1.5,50,1,1,1,0,0,1,1,1,1,0,0
"3",3,3.31578947368421,3,3.36842105263158,2.5,38,1,1,1.18,0,0,1,0,0,0,0,0
"4",4,4.92307692307692,6,2.38461538461538,1,13,1,1,0.94,0,0,0,0,0,1,0,0
"5",5,4.16,3,1.88,1,50,1,1,0.75,0,0,0,0,0,0,0,1
"6",6,6.8780487804878,7,2.85365853658537,2,41,8,3,6.45,1,0,0,0,0,0,0,1
"7",7,7.02777777777778,7,2.25,1,36,10,4,8.98,1,0,0,0,1,1,0,0
"8",8,8.14666666666667,8,2.8,2,75,10,3,10.8,1,1,1,0,1,1,1,0
"9",9,8.04444444444444,8,2.44444444444444,1,45,11,4,11.58,1,2,0,0,0,0,0,0
"10",10,8.44230769230769,9,3.13461538461538,2.5,52,16,6,13.97,2,2,0,0,0,1,0,0
"11",11,4.80357142857143,5,3.03571428571429,2.5,56,5,2,3.84,0,0,0,0,0,0,0,1
"12",12,5.82142857142857,5.5,2.67857142857143,2,28,4,2,4.34,0,0,1,1,1,1,0,0
"13",13,6.16666666666667,6,2.94444444444444,2,36,4,2,3.6,0,0,0,0,1,0,1,0
"14",14,6.75531914893617,7,2.45744680851064,1,94,4,2,3.22,0,1,1,1,1,1,1,0
"15",15,5.28571428571429,5,2.05714285714286,1,35,4,2,4.73,0,0,1,0,0,0,0,0
"16",16,7.62121212121212,8,2.53030303030303,1.5,66,12,5,12,1,2,1,0,0,1,0,0
"17",17,7.375,8,2.5,1,24,7,3,7.5,0,1,0,0,0,0,0,1
"18",18,8,8,2.88333333333333,2,60,10,4,10.95,0,1,1,1,1,1,0,0
"19",19,8.02083333333333,8,2.33333333333333,1,48,20,7,19.7,0,1,0,0,1,0,0,0
"20",20,8.37254901960784,9,2.70588235294118,1,51,20,7,15.99,1,2,0,0,1,0,0,0
